Date,Amount,Category,Description,Payment Method
2024-07-16,3344.33,Travel,Cab from airport,Net Banking
2024-06-23,2710.26,Entertainment,Spotify subscription,Net Banking
2024-08-17,3118.24,Health,Doctor visit,Cash
2025-01-18,4241.37,Others,Stationery,Net Banking
2025-04-16,732.06,Travel,Hotel stay,Net Banking
2025-04-27,3077.26,Health,Medical test,Net Banking
2024-12-09,1120.29,Education,Online course,Credit Card
2024-05-24,4976.62,Shopping,Bought shoes,UPI
2024-08-02,4149.74,Travel,Travel insurance,Debit Card
2024-11-26,2462.39,Shopping,Mobile accessories,Credit Card
2024-06-25,2863.68,Utilities,Water bill,Credit Card
2025-04-09,71.24,Utilities,Water bill,Debit Card
2025-03-06,2402.27,Transport,Bus fare,UPI
2025-04-08,3660.21,Transport,Bus fare,Debit Card
2024-08-21,3921.03,Others,Charity donation,Credit Card
2024-11-07,1402.1,Health,Pharmacy purchase,Net Banking
2024-08-16,2883.97,Health,Doctor visit,Net Banking
2025-04-16,3628.07,Transport,Car maintenance,Credit Card
2024-08-23,546.34,Travel,Travel insurance,UPI
2024-06-19,860.77,Others,Random expense,UPI
2024-12-26,3903.75,Food,Lunch at Subway,UPI
2024-11-12,3734.43,Others,Stationery,Debit Card
2024-09-08,498.64,Utilities,Gas bill,Net Banking
2024-10-16,1230.88,Shopping,Gift shopping,UPI
2024-07-26,1908.1,Entertainment,Game purchase,UPI
2025-01-13,1349.8,Utilities,Internet recharge,Cash
2024-07-22,1957.23,Entertainment,Spotify subscription,Cash
2024-06-13,2046.91,Travel,Hotel stay,Net Banking
2024-05-16,1456.21,Education,Learning app subscription,Net Banking
2024-09-03,2376.91,Travel,Travel insurance,Debit Card
2024-11-16,1866.7,Utilities,Water bill,Credit Card
2025-04-02,2006.61,Health,Health insurance,UPI
2025-01-11,4498.38,Education,Learning app subscription,Net Banking
2024-07-01,376.12,Entertainment,Concert ticket,Net Banking
2024-08-05,1292.32,Travel,Hotel stay,Cash
2025-04-09,4224.23,Others,Charity donation,Cash
2024-10-02,1104.65,Others,Stationery,Cash
2025-04-19,2436.27,Transport,Uber ride,Debit Card
2024-07-06,951.91,Health,Gym membership,Credit Card
2025-01-28,1464.83,Entertainment,Concert ticket,Credit Card
2025-03-13,101.96,Food,Snacks from 7-Eleven,Debit Card
2025-04-22,2208.72,Food,Lunch at Subway,UPI
2024-08-25,732.58,Others,Stationery,Net Banking
2024-08-13,2626.38,Health,Gym membership,UPI
2025-05-02,4749.05,Shopping,Amazon order,Net Banking
2024-12-21,2370.58,Shopping,New clothes,Net Banking
2024-10-26,2612.04,Health,Gym membership,Net Banking
2024-06-01,2564.93,Others,Stationery,Net Banking
2024-08-07,3523.92,Food,Coffee at Starbucks,Net Banking
2024-11-07,3901.55,Health,Pharmacy purchase,Credit Card
2025-01-12,2659.7,Health,Doctor visit,Cash
2025-02-27,2064.01,Others,Charity donation,UPI
2024-11-16,3033.67,Others,Charity donation,UPI
2024-08-19,1795.07,Entertainment,Game purchase,Net Banking
2024-12-01,2897.33,Shopping,Amazon order,Debit Card
2025-01-20,1505.01,Utilities,Internet recharge,Cash
2024-10-03,2040.19,Transport,Car maintenance,UPI
2025-01-11,4688.81,Travel,Flight booking,UPI
2024-09-17,2159.15,Food,Groceries from Walmart,Net Banking
2025-02-06,2477.38,Transport,Gas refill,Debit Card
2024-09-17,4039.65,Education,Exam registration,Credit Card
2024-12-18,216.34,Utilities,Water bill,UPI
2025-02-20,963.06,Food,Coffee at Starbucks,Credit Card
2024-06-22,4911.76,Transport,Gas refill,Credit Card
2025-01-12,4771.36,Others,Charity donation,Credit Card
2024-07-02,3594.12,Utilities,Gas bill,Debit Card
2024-10-08,288.42,Shopping,New clothes,Net Banking
2025-01-11,4378.18,Entertainment,Game purchase,UPI
2025-02-13,3305.97,Food,Coffee at Starbucks,UPI
2024-07-14,2898.32,Food,Snacks from 7-Eleven,Cash
2024-12-26,4167.58,Transport,Train ticket,Net Banking
2024-11-16,852.16,Health,Doctor visit,Net Banking
2025-01-13,899.4,Others,Laundry,Net Banking
2024-05-31,1425.47,Health,Gym membership,Credit Card
2025-02-02,1097.79,Shopping,Amazon order,Net Banking
2024-12-05,3428.86,Shopping,Bought shoes,Net Banking
2024-10-23,1167.67,Health,Doctor visit,Cash
2024-08-19,3984.61,Education,Exam registration,Cash
2024-10-06,1117.64,Health,Health insurance,Cash
2025-03-07,3340.33,Shopping,New clothes,Cash
2025-05-02,1310.34,Utilities,Water bill,Net Banking
2024-11-13,3395.82,Food,Groceries from Walmart,Debit Card
2024-06-07,2118.16,Travel,Train reservation,Net Banking
2025-03-03,4230.25,Transport,Gas refill,Cash
2025-04-17,1703.54,Shopping,New clothes,Debit Card
2025-03-11,439.4,Travel,Cab from airport,Net Banking
2025-01-21,4038.58,Health,Pharmacy purchase,Credit Card
2024-09-25,2490.39,Education,Learning app subscription,Net Banking
2024-11-26,3131.42,Shopping,Bought shoes,Net Banking
2024-08-09,1910.37,Education,Tuition fee,Credit Card
2025-04-23,559.2,Food,Dinner at KFC,Credit Card
2024-05-24,408.6,Entertainment,Netflix subscription,UPI
2024-07-12,2962.12,Food,Dinner at KFC,UPI
2024-08-20,1568.47,Utilities,Water bill,Debit Card
2024-10-27,1493.53,Health,Health insurance,UPI
2025-02-13,3715.85,Others,Laundry,Cash
2024-10-27,3653.21,Utilities,Gas bill,Credit Card
2025-04-12,2883.62,Health,Doctor visit,Credit Card
2024-05-15,1399.82,Education,Exam registration,Credit Card
2025-03-10,1197.68,Travel,Train reservation,UPI
2024-10-27,3452.73,Transport,Gas refill,Net Banking
2024-10-25,4244.59,Transport,Bus fare,Debit Card
2025-04-05,2578.58,Entertainment,Concert ticket,Credit Card
2025-03-11,2910.69,Health,Pharmacy purchase,Credit Card
2024-10-20,3971.74,Utilities,Mobile bill,Cash
2025-02-10,2890.24,Entertainment,Concert ticket,Cash
2024-10-25,431.63,Entertainment,Game purchase,Net Banking
2025-01-15,1476.94,Others,Random expense,UPI
2024-12-14,3116.85,Entertainment,Game purchase,Cash
2024-12-01,3295.54,Education,Exam registration,Cash
2024-07-09,2812.1,Food,Coffee at Starbucks,Debit Card
2024-10-02,368.31,Food,Lunch at Subway,UPI
2025-01-28,1375.08,Education,Online course,UPI
2025-05-04,3272.23,Entertainment,Movie ticket,Credit Card
2024-06-08,146.27,Utilities,Internet recharge,Net Banking
2025-03-20,3389.79,Transport,Uber ride,Debit Card
2024-08-13,1942.13,Shopping,Amazon order,Cash
2025-02-09,301.76,Entertainment,Spotify subscription,UPI
2025-02-17,2353.88,Entertainment,Concert ticket,Net Banking
2025-03-01,2508.38,Education,Tuition fee,Debit Card
2024-11-08,1567.3,Shopping,Mobile accessories,Net Banking
2024-08-08,3208.05,Travel,Hotel stay,UPI
2024-11-08,4376.91,Others,Pet food,Credit Card
2024-12-10,4409.87,Shopping,Amazon order,Credit Card
2025-03-04,3792.78,Entertainment,Netflix subscription,UPI
2024-07-15,2285.34,Entertainment,Game purchase,Cash
2025-03-24,2974.5,Shopping,Amazon order,Credit Card
2025-02-01,771.86,Health,Medical test,UPI
2024-05-17,269.05,Utilities,Electricity bill,Debit Card
2024-12-16,4870.23,Education,Online course,Debit Card
2025-03-25,4499.28,Shopping,Mobile accessories,UPI
2024-05-14,4759.28,Education,Book purchase,Credit Card
2025-04-24,260.21,Shopping,Bought shoes,UPI
2024-10-19,4105.31,Food,Snacks from 7-Eleven,UPI
2024-10-18,1913.83,Education,Exam registration,Credit Card
2025-03-02,365.44,Others,Charity donation,Net Banking
2024-11-12,248.09,Travel,Cab from airport,Net Banking
2024-05-20,3061.61,Education,Tuition fee,Cash
2024-06-02,2279.7,Utilities,Internet recharge,UPI
2025-02-14,3573.35,Others,Random expense,Net Banking
2025-03-03,134.39,Education,Online course,UPI
2025-02-18,1183.17,Transport,Bus fare,Debit Card
2025-03-29,4031.29,Food,Snacks from 7-Eleven,UPI
2024-07-09,2224.35,Others,Charity donation,UPI
2025-04-11,2903.89,Travel,Hotel stay,Debit Card
2025-05-05,4922.37,Entertainment,Movie ticket,Cash
2025-02-23,776.75,Others,Stationery,UPI
2025-05-05,3971.91,Shopping,New clothes,UPI
2025-02-02,1903.51,Health,Doctor visit,Net Banking
2024-06-19,1392.52,Others,Pet food,Credit Card
2024-05-29,1459.54,Shopping,Amazon order,Cash
2025-02-04,3899.48,Others,Pet food,Debit Card
2025-04-18,3799.89,Entertainment,Netflix subscription,Credit Card
2025-03-09,2050.29,Travel,Cab from airport,Cash
2025-03-03,1719.92,Entertainment,Spotify subscription,Credit Card
2024-05-19,4036.03,Others,Charity donation,UPI
2024-11-20,1013.81,Education,Exam registration,Debit Card
2024-08-26,4932.54,Entertainment,Movie ticket,Net Banking
2025-01-08,4039.41,Travel,Cab from airport,Cash
2024-12-07,2502.07,Shopping,Gift shopping,Credit Card
2024-09-16,4548.94,Utilities,Gas bill,Cash
2024-09-13,4042.28,Education,Online course,Credit Card
2024-07-16,4931.71,Entertainment,Movie ticket,Credit Card
2024-07-17,2074.17,Health,Medical test,Cash
2024-07-10,3014.64,Utilities,Gas bill,Debit Card
2024-10-18,637.77,Education,Online course,UPI
2024-08-05,3617.72,Transport,Bus fare,Credit Card
2025-01-18,3397.36,Travel,Flight booking,Cash
2024-09-04,2219.9,Food,Snacks from 7-Eleven,Net Banking
2024-09-09,597.4,Food,Snacks from 7-Eleven,Cash
2024-08-27,4345.72,Transport,Uber ride,Net Banking
2024-11-12,62.82,Transport,Bus fare,Cash
2024-05-29,2868.23,Education,Learning app subscription,UPI
2024-11-23,854.41,Utilities,Electricity bill,Debit Card
2024-09-04,84.73,Transport,Train ticket,Credit Card
2024-05-26,4191.1,Utilities,Mobile bill,Debit Card
2024-12-09,4808.34,Utilities,Water bill,Credit Card
2024-09-13,4224.74,Food,Coffee at Starbucks,Debit Card
2025-03-30,1173.64,Shopping,New clothes,Net Banking
2025-01-14,3297.69,Utilities,Mobile bill,Debit Card
2024-08-14,1953.15,Education,Learning app subscription,Net Banking
2024-07-26,3790.5,Shopping,Amazon order,UPI
2024-08-31,3793.7,Health,Health insurance,Credit Card
2025-03-14,2841.38,Travel,Train reservation,UPI
